sku_id,channel,train_samples,mape,rmse
SKU-0444,chain,1827,28.126966565212435,62.20111414528165
SKU-0444,independent,1827,28.0530359912135,43.954510933058856
SKU-0465,total,1827,57.396187153728775,177.717997752761
SKU-0465,hospital,1827,57.095770991174334,46.68376706294958
SKU-0465,chain,1827,57.48064362576092,67.36539182131146
SKU-0465,independent,1827,57.93217991607506,63.95550364961469
SKU-0470,total,1827,47.5575630758203,256.53449614560895
SKU-0470,hospital,1827,47.45926579240907,65.55548498239794
SKU-0470,chain,1827,47.46822446030781,132.83981482738892
SKU-0470,independent,1827,47.73304040907826,58.29048840642319
SKU-0478,total,1827,32.70185067098886,103.10215362712859
SKU-0478,hospital,1827,32.61811418029324,37.81319589886604
SKU-0478,chain,1827,32.65580637039308,37.0762173944103
SKU-0478,independent,1827,32.80412612793529,28.272675622325178
SKU-0487,total,1827,34.02026898748437,142.57972388190217
SKU-0487,hospital,1827,33.97643742758099,57.316706563202786
SKU-0487,chain,1827,33.943978616016416,59.5353275375798
SKU-0487,independent,1827,34.17507840876991,25.736576107457605
SKU-0496,total,1827,30.14406274550846,51.822953786642614
SKU-0496,hospital,1827,30.413801639037885,13.301253569083883
SKU-0496,chain,1827,30.07907013470954,26.615641272758253
SKU-0496,independent,1827,30.035878899859753,11.923293310146436
